id,Title,Date,Permalink,"Research Topics","Press Types",Categories
433,"Profs. Wen-fai Fong, Raffaella Margutti and Team Create First-ever Movie of Gamma-ray Burst",07/26/2018,https://ciera.northwestern.edu/2018/07/26/profs-wen-fai-fong-raffaella-margutti-and-team-create-first-ever-movie-of-gamma-ray-burst/,"Life &amp; Death of Stars","Northwestern Press",Science
437,"12th International LISA Symposium Held in Chicago by CIERA & AAS",07/13/2018,https://ciera.northwestern.edu/2018/07/13/12th-international-lisa-symposium-held-in-chicago-by-ciera-aas/,"Gravitational Waves &amp; Multi-Messenger Astronomy","CIERA Stories",Event
769,"Shaping Globular Clusters with Black Holes",03/21/2018,https://ciera.northwestern.edu/2018/03/21/shaping-globular-clusters-with-black-holes/,"Black Holes &amp; Dead Stars|Stellar Dynamics &amp; Stellar Populations","External Press",Science
774,"See The Planets Of Our Solar System While Listening To 'The Planets'",05/18/2016,https://ciera.northwestern.edu/2016/05/18/see-the-planets-of-our-solar-system-while-listening-to-the-planets/,"Exoplanets &amp; The Solar System","External Press",Event|Interdisciplinary|Outreach
776,"Solar System Symphony Melds Music with Astronomy",05/23/2016,https://ciera.northwestern.edu/2016/05/23/solar-system-symphony-melds-music-with-astronomy/,"Exoplanets &amp; The Solar System","External Press",Event|Interdisciplinary|Outreach
1286,"CIERA Sponsors Meeting of Gravitational Wave International Committee",07/08/2018,https://ciera.northwestern.edu/2018/07/08/ciera-sponsors-meeting-of-gravitational-wave-international-committee/,"Gravitational Waves &amp; Multi-Messenger Astronomy","CIERA Stories",Event
1288,"MODEST-18 Hosted by CIERA in Santorini, Greece",06/29/2018,https://ciera.northwestern.edu/2018/06/29/modest-18-hosted-by-ciera-in-santorini-greece/,"Stellar Dynamics &amp; Stellar Populations","CIERA Stories",Event
1289,"Experts Gather to Discuss the Circumgalactic Medium",08/04/2018,https://ciera.northwestern.edu/2018/08/04/experts-gather-to-discuss-the-circumgalactic-medium/,"Galaxies &amp; Cosmology","CIERA Stories",Event
1294,"CIERA’s Michelle Paulsen to Serve on National Education Leadership Committee",08/13/2018,https://ciera.northwestern.edu/2018/08/13/cieras-michelle-paulsen-to-serve-on-national-education-leadership-committee/,,"CIERA Stories",Achievement|Education
1295,"Announcing CIERA Director of Operations Kari Frank & Associate Director Shane Larson",09/01/2017,https://ciera.northwestern.edu/2017/09/01/announcing-ciera-director-of-operations-kari-frank-associate-director-shane-larson/,,"CIERA Stories",Achievement
1306,"CIERA Helps Chicago-Area High School Students Host 2018 GirlCon",06/16/2018,https://ciera.northwestern.edu/2018/06/16/ciera-helps-chicago-area-high-school-students-host-2018-girlcon/,,"CIERA Stories",Event|Interdisciplinary|Outreach
1309,"CIERA Postdocs Advance to New Positions",06/10/2018,https://ciera.northwestern.edu/2018/06/10/ciera-postdocs-advance-to-new-positions/,,"CIERA Stories","Achievement|Data Science &amp; Computing"
1310,"Brice Ménard Presents CIERA Interdisciplinary Colloquium",06/04/2018,https://ciera.northwestern.edu/2018/06/04/brice-menard-presents-ciera-interdisciplinary-colloquium/,,"CIERA Stories","Data Science &amp; Computing|Event|Interdisciplinary"
1312,"CIERA Contributes to World Science Festival",05/30/2018,https://ciera.northwestern.edu/2018/05/30/ciera-contributes-to-world-science-festival/,"Black Holes &amp; Dead Stars|Gravitational Waves &amp; Multi-Messenger Astronomy","CIERA Stories",Event|Outreach
1315,"CIERA Welcomes New Faculty Members: Wen-Fai Fong & Sasha Tchekhovskoy",09/01/2017,https://ciera.northwestern.edu/2017/09/01/ciera-welcomes-new-faculty-members-wen-fai-fong-sasha-tchekhovskoy/,"Black Holes &amp; Dead Stars|Gravitational Waves &amp; Multi-Messenger Astronomy|Life &amp; Death of Stars","CIERA Stories",Achievement
1317,"Sky & Telescope Features “Three Cosmic Chirps and Counting” by CIERA Director Vicky Kalogera",09/15/2017,https://ciera.northwestern.edu/2017/09/15/three-cosmic-chirps-and-counting/,"Gravitational Waves &amp; Multi-Messenger Astronomy","External Press",Achievement|Outreach
1318,"CIERA Partners with The Chicago Network on STEM Event",05/17/2018,https://ciera.northwestern.edu/2018/05/17/ciera-partners-with-the-chicago-network-on-stem-event/,"Black Holes &amp; Dead Stars|Gravitational Waves &amp; Multi-Messenger Astronomy","CIERA Stories",Event|Outreach
1324,"Graduate Student Eve Chase Wins Best Poster Award at LSC-Virgo Meeting",09/01/2017,https://ciera.northwestern.edu/2017/09/01/graduate-student-eve-chase-wins-best-poster-award-at-lsc-virgo-meeting/,"Gravitational Waves &amp; Multi-Messenger Astronomy","CIERA Stories",Achievement
1343,"CIERA Postdoc Fabio Antonini Finds that Many LIGO Sources Arise from Mergers at the Centers of Galaxies",09/15/2017,https://ciera.northwestern.edu/2017/09/15/ciera-postdoc-fabio-antonini-finds-that-many-ligo-sources-arise-from-mergers-at-the-centers-of-galaxies/,"Black Holes &amp; Dead Stars|Gravitational Waves &amp; Multi-Messenger Astronomy|Stellar Dynamics &amp; Stellar Populations","CIERA Stories",Science
1346,"New Study: LISA Observatory to Detect Globular Cluster Binaries in the Milky Way",05/11/2018,https://ciera.northwestern.edu/2018/05/11/new-study-lisa-observatory-to-detect-globular-cluster-binaries-in-the-milky-way/,"Gravitational Waves &amp; Multi-Messenger Astronomy|Stellar Dynamics &amp; Stellar Populations","Northwestern Press",Science
1347,"Unique Supernova Revealed by CIERA Postdoc Giacomo Terreran",09/18/2017,https://ciera.northwestern.edu/2017/09/18/unique-supernova-revealed-by-ciera-postdoc-giacomo-terreran/,"Life &amp; Death of Stars","External Press",Science
1351,"PhD Student Alex Gurvich Awarded Two Prestigious Fellowships",05/10/2018,https://ciera.northwestern.edu/2018/05/10/phd-student-alex-gurvich-awarded-two-prestigious-fellowships/,"Galaxies &amp; Cosmology","CIERA Stories|External Press",Achievement
1352,"CIERA Researchers Contribute to Record-setting Gravitational Wave Detection",09/27/2017,https://ciera.northwestern.edu/2017/09/27/ciera-researchers-contribute-to-record-setting-gravitational-wave-detection/,"Gravitational Waves &amp; Multi-Messenger Astronomy","External Press",Science
