id,Title,Date,Permalink,Research Topics,Press Types,Categories,Year,Press Mentions,People Reached,Top Outlets,Notes
433,"Profs. Wen-fai Fong, Raffaella Margutti and Team Create First-ever Movie of Gamma-ray Burst",2018-07-26,https://ciera.northwestern.edu/2018/07/26/profs-wen-fai-fong-raffaella-margutti-and-team-create-first-ever-movie-of-gamma-ray-burst/,Life & Death of Stars,Northwestern Press,Science,2017,27,147565,,
437,12th International LISA Symposium Held in Chicago by CIERA & AAS,2018-07-13,https://ciera.northwestern.edu/2018/07/13/12th-international-lisa-symposium-held-in-chicago-by-ciera-aas/,Gravitational Waves & Multi-Messenger Astronomy,CIERA Stories,Event,2017,11,3362346,"•	WTTW, Sept. 12, 2022",
769,Shaping Globular Clusters with Black Holes,2018-03-21,https://ciera.northwestern.edu/2018/03/21/shaping-globular-clusters-with-black-holes/,Black Holes & Dead Stars|Stellar Dynamics & Stellar Populations,External Press,Science,2017,32,14866021,"Mashable, CNN, BBC, CNET, Ars Technica, LiveScience (need links)",
774,See The Planets Of Our Solar System While Listening To 'The Planets',2016-05-18,https://ciera.northwestern.edu/2016/05/18/see-the-planets-of-our-solar-system-while-listening-to-the-planets/,Exoplanets & The Solar System,External Press,Event|Interdisciplinary|Outreach,2015,,,,
776,Solar System Symphony Melds Music with Astronomy,2016-05-23,https://ciera.northwestern.edu/2016/05/23/solar-system-symphony-melds-music-with-astronomy/,Exoplanets & The Solar System,External Press,Event|Interdisciplinary|Outreach,2015,71,928915,,
1286,CIERA Sponsors Meeting of Gravitational Wave International Committee,2018-07-08,https://ciera.northwestern.edu/2018/07/08/ciera-sponsors-meeting-of-gravitational-wave-international-committee/,Gravitational Waves & Multi-Messenger Astronomy,CIERA Stories,Event,2017,,,,
1288,"MODEST-18 Hosted by CIERA in Santorini, Greece",2018-06-29,https://ciera.northwestern.edu/2018/06/29/modest-18-hosted-by-ciera-in-santorini-greece/,Stellar Dynamics & Stellar Populations,CIERA Stories,Event,2017,23,1324205,Cosmos Magazine,
1289,Experts Gather to Discuss the Circumgalactic Medium,2018-08-04,https://ciera.northwestern.edu/2018/08/04/experts-gather-to-discuss-the-circumgalactic-medium/,Galaxies & Cosmology,CIERA Stories,Event,2017,8,1424054,,
1294,CIERA’s Michelle Paulsen to Serve on National Education Leadership Committee,2018-08-13,https://ciera.northwestern.edu/2018/08/13/cieras-michelle-paulsen-to-serve-on-national-education-leadership-committee/,,CIERA Stories,Achievement|Education,2017,18,2327189,,
1295,Announcing CIERA Director of Operations Kari Frank & Associate Director Shane Larson,2017-09-01,https://ciera.northwestern.edu/2017/09/01/announcing-ciera-director-of-operations-kari-frank-associate-director-shane-larson/,,CIERA Stories,Achievement,2016,,,,
